标题1,关键词,店铺,状态
Apple/苹果 iPhone 11,"


￥5499.00

 ","
苏宁易购官方旗舰店
",该款月成交 11万笔
HUAWEI Huawei Mate 30 Pro 5G,"

￥6399.00

 ","
华为官方旗舰店
",该款月成交 1.4万笔
Apple/苹果 iPhone 11 Pro Max,"


￥9299.00

 ","
苏宁易购官方旗舰店
",该款月成交 6395笔
HUAWEI 华为畅享10,"

￥1149.00

 ","
华为官方旗舰店
",该款月成交 4.8万笔
honor/荣耀 荣耀9x,"

￥1799.00

 ","
荣耀官方旗舰店
",该款月成交 4.9万笔
Xiaomi/小米 Redmi Note8 Pro,"

￥1299.00

 ","
小米官方旗舰店
",该款月成交 3.4万笔
Samsung/三星 Galaxy S10+ SM-G9750,"

￥4299.00

 ","
三星官方旗舰店
",该款月成交 953笔
Samsung/三星 Galaxy S10 SM-G9730,"

￥3699.00

 ","
三星官方旗舰店
",该款月成交 2549笔
honor/荣耀 荣耀play3,"

￥899.00

 ","
荣耀官方旗舰店
",该款月成交 1.9万笔
Xiaomi/小米 Redmi Note 8,"

￥999.00

 ","
小米官方旗舰店
",该款月成交 3.8万笔
honor/荣耀 荣耀20 pro,"

￥2079.00

 ","
深蓝港数码旗舰店
",该款月成交 6266笔
Apple/苹果 Apple iPhone 11,"

￥4749.00

 ","
同迅数码专营店
",该款月成交 1989笔
Apple/苹果 iPhone XS,"

￥4189.00

 ","
翼天下天翼电信旗舰店
",该款月成交 3895笔
OPPO Reno Ace,"

￥2699.00

 ","
OPPO官方旗舰店
",该款月成交 325笔
HUAWEI HUAWEI P30,"


￥3088.00

 ","
华为莫问专卖店
",该款月成交 4488笔
HUAWEI nova 6/nova 6 5G,"

￥2749.00

 ","
京合旗舰店
",该款月成交 9949笔
vivo NEX 3 5G,"

￥5698.00

 ","
vivo官方旗舰店
",该款月成交 183笔
Apple/苹果 iPhone XR,"

￥3699.00

 ","
翼天下天翼电信旗舰店
",该款月成交 5047笔
Apple/苹果 iPhone 8 Plus,"

￥3649.00

 ","
搜酷数码专营店
",该款月成交 3114笔
Xiaomi/小米 小米CC9 PRO,"

￥2568.00

 ","
连盛数码专营店
",该款月成交 432笔
vivo iQOO Pro 5G,"

￥3098.00

 ","
vivo官方旗舰店
",该款月成交 74笔
Samsung/三星 Galaxy Note10 SM-N9700,"

￥4388.00

 ","
三星恒源盛达专卖店
",该款月成交 233笔
OPPO A11,"

￥1299.00

 ","
OPPO官方旗舰店
",该款月成交 1.2万笔
honor/荣耀 荣耀9X PRO,"

￥1849.00

 ","
三际数码官方旗舰店
",该款月成交 4958笔
HUAWEI nova 6 SE,"

￥1999.00

 ","
京合旗舰店
",该款月成交 1.6万笔
HUAWEI nova 5i,"

￥1499.00

 ","
小淘器数码专营店
",该款月成交 6340笔
honor/荣耀 荣耀20S,"

￥1699.00

 ","
同迅数码专营店
",该款月成交 149笔
vivo S5,"

￥2298.00

 ","
首佳誉数码专营店
",该款月成交 193笔
Huawei/华为 Mate 20 X,"

￥3699.00

 ","
久汇数码专营店
",该款月成交 209笔
nubia/努比亚 Z20,"

￥2699.00

 ","
努比亚官方旗舰店
",该款月成交 307笔
realme Q,"

￥1598.00

 ","
realme官方旗舰店
",该款月成交 428笔
HUAWEI HUAWEI Mate 20 X (5G),"

￥4358.00

 ","
旭翼数码专营店
",该款月成交 184笔
HUAWEI 畅享9,"

￥749.00

 ","
久汇数码专营店
",该款月成交 484笔
Xiaomi/小米 Redmi K20 Pro 尊享版,"

￥2729.00

 ","
信息港数码专营店
",该款月成交 199笔
honor/荣耀 畅玩7,"

￥477.00

 ","
创汇通达数码旗舰店
",该款月成交 688笔
Apple/苹果 Apple iPhone 11 pro Max,"

￥9499.00

 ","
天猫超市
",该款月成交 190笔
Xiaomi/小米 Redmi K30 至尊纪念版,"

￥2549.00

 ","
机御旗舰店
",该款月成交 2.7万笔
OPPO Reno4,"

￥3299.00

 ","
OPPO欧曙专卖店
",该款月成交 1.5万笔
Apple/苹果 iPhone SE (第二代),"

￥3699.00

 ","
天猫超市
",该款月成交 1.7万笔
Meizu/魅族 17 pro,"

￥4699.00

 ","
魅族官方旗舰店
",该款月成交 2719笔
honor/荣耀 荣耀 Play4,"

￥1899.00

 ","
深蓝港数码旗舰店
",该款月成交 1.3万笔
Xiaomi/小米 小米10 至尊纪念版,"

￥5999.00

 ","
机御旗舰店
",该款月成交 2.8万笔
Huawei/华为 Mate 20 Pro,"

￥3699.00

 ","
旭翼数码专营店
",该款月成交 441笔
vivo iQOO Neo3,"

￥2998.00

 ","
vivo曼尼金专卖店
",该款月成交 1.2万笔
Huawei/华为 华为 畅享Z 5G,"

￥1899.00

 ","
小淘器数码专营店
",该款月成交 2.4万笔
Xiaomi/小米 小米10青春版,"

￥1899.00

 ","
创汇通达数码旗舰店
",该款月成交 2.2万笔
Meizu/魅族 17,"

￥3699.00

 ","
魅族官方旗舰店
",该款月成交 3098笔
DOOV/朵唯 X11 Pro,"

￥699.00

 ","
浩瑜数码专营店
",该款月成交 9944笔
Huawei/华为 nova 7 5G,"

￥2999.00

 ","
博盛景数码专营店
",该款月成交 5.6万笔
Samsung/三星 Galaxy Z Flip SM-F7000,"

￥11999.00

 ","
samsung佳酷专卖店
",该款月成交 160笔
vivo iQOO Z1,"

￥2498.00

 ","
能良数码官方旗舰店
",该款月成交 7075笔
HUAWEI HuaWei Mate 30 5G,"

￥4499.00

 ","
迈微数码旗舰店
",该款月成交 3.4万笔
21KE qin2 pro,"

￥599.00

 ","
晟功数码专营店
",该款月成交 1492笔
iQOO iQOO 3,"

￥3498.00

 ","
iQOO官方旗舰店
",该款月成交 3728笔
SMARTISAN/锤子 坚果pro,"

￥2499.00

 ","
金万吉数码专营店
",该款月成交 282笔
多亲 QIN2,"


￥599.00

 ","
多亲旗舰店
",该款月成交 760笔
iQOO iQOO Neo3,"

￥2998.00

 ","
iQOO官方旗舰店
",该款月成交 1.3万笔
honor/荣耀 荣耀30 Pro,"

￥3999.00

 ","
绿森官方旗舰店
",该款月成交 1.5万笔
realme 真我V5 5G,"

￥1499.00

 ","
realme官方旗舰店
",该款月成交 6806笔
Nokia/诺基亚 2720,"

￥569.00

 ","
诺基亚手机官方旗舰店
",该款月成交 1756笔
Gionee/金立 M12Pro,"

￥729.00

 ","
浩瑜数码专营店
",该款月成交 3917笔
DOOV/朵唯 X11 电霸,"

￥599.00

 ","
唯品时代数码专营店
",该款月成交 2618笔
ZTE/中兴 A2021,"

￥2398.00

 ","
ZTE中兴官方旗舰店
",该款月成交 160笔
YEPEN/誉品 T28,"

￥599.00

 ","
酷泽数码专营店
",该款月成交 247笔
K-Touch/天语 X27S,"

￥599.00

 ","
ktouch天语众鑫世纪专卖店
",该款月成交 1136笔
DOOV/朵唯 9X,"

￥499.00

 ","
其他数码专营店
",该款月成交 1178笔
ivvi X11 Pro,"

￥628.00

 ","
ivvi手机旗舰店
",该款月成交 1141笔
欧宝 qin2,"

￥699.00

 ","
青椒数码专营店
",该款月成交 76笔
Xiaomi/小米 6X,"

￥899.00

 ","
岸越数码专营店
",该款月成交 193笔
DOOV/朵唯 L525,"

￥499.00

 ","
优源数码专营店
",该款月成交 77笔
Sony/索尼 J9210,"

￥4699.00

 ","
索尼官方旗舰店
",该款月成交 135笔
ZTE/中兴 ZTE A7010,"

￥699.00

 ","
ZTE中兴官方旗舰店
",该款月成交 243笔
Meizu/魅族 16T,"

￥2598.00

 ","
连盛数码专营店
",该款月成交 346笔
Xiaomi/小米 Redmi 9A,"

￥609.00

 ","
创汇通达数码旗舰店
",该款月成交 9.7万笔
Hisense/海信 HLTE202N,"

￥1299.00

 ","
伊奥雷特数码专营店
",该款月成交 62笔
vivo Z5X,"

￥1398.00

 ","
vivo欧曙专卖店
",该款月成交 663笔
Coolpad/酷派 cool 9,"

￥599.00

 ","
锦万数码专营
",该款月成交 231笔
Huawei/华为 HUAWEI Mate Xs,"

￥18199.00

 ","
智由掌控数码旗舰店
",该款月成交 203笔
Philips/飞利浦 E515,"

￥489.00

 ","
致诚信达数码专营店
",该款月成交 666笔
Huawei/华为 畅享8e,"

￥435.00

 ","
启能数码专营店
",该款月成交 187笔
Apple/苹果 iPhone 11 Pro,"


￥8799.00

 ","
苏宁易购官方旗舰店
",该款月成交 4163笔
HUAWEI HUAWEI Mate 30 Pro,"

￥5899.00

 ","
华为官方旗舰店
",该款月成交 1176笔
HUAWEI 华为畅享10 plus,"

￥1149.00

 ","
华为官方旗舰店
",该款月成交 3.3万笔
honor/荣耀 荣耀V30,"

￥3099.00

 ","
荣耀官方旗舰店
",该款月成交 8059笔
honor/荣耀 荣耀V30 Pro,"

￥3699.00

 ","
荣耀官方旗舰店
",该款月成交 1.1万笔
honor/荣耀 荣耀20,"


￥1899.00

 ","
苏宁易购官方旗舰店
",该款月成交 1337笔
Xiaomi/小米 Redmi K30,"

￥1399.00

 ","
小米官方旗舰店
",该款月成交 2.0万笔
Xiaomi/小米 Redmi 8A,"

￥699.00

 ","
小米官方旗舰店
",该款月成交 1.0万笔
Apple/苹果 iPhone XS Max,"

￥5569.00

 ","
翼天下天翼电信旗舰店
",该款月成交 840笔
OPPO A11x,"

￥1599.00

 ","
OPPO官方旗舰店
",该款月成交 1219笔
vivo X50 Pro+,"

￥5498.00

 ","
vivo官方旗舰店
",该款月成交 2485笔
vivo Y9s,"

￥1798.00

 ","
vivo官方旗舰店
",该款月成交 503笔
Samsung/三星 Galaxy S20 SM-G9810,"

￥6999.00

 ","
三星官方旗舰店
",该款月成交 1275笔
OPPO Find X2,"

￥4999.00

 ","
OPPO官方旗舰店
",该款月成交 1356笔
Samsung/三星 Galaxy S20+ SM-G9860,"

￥7999.00

 ","
三星官方旗舰店
",该款月成交 699笔
Apple/苹果 Apple iphone 11 pro,"

￥9099.00

 ","
天猫超市
",该款月成交 160笔
Apple/苹果 Apple/苹果 iPhone SE (第二代),"

￥3799.00

 ","
翼天下天翼电信旗舰店
",该款月成交 2257笔
Apple/苹果 Apple iPhone XS,"

￥5699.00

 ","
天猫超市
",该款月成交 104笔
iQOO iQOO Z1,"

￥2498.00

 ","
iQOO官方旗舰店
",该款月成交 1.0万笔
realme 真我X50 Pro 5G,"

￥3899.00

 ","
realme官方旗舰店
",该款月成交 606笔
honor/荣耀 荣耀NOTE10,"

￥1438.00

 ","
旭翼数码专营店
",该款月成交 397笔
Huawei/华为 Mate 20,"

￥3099.00

 ","
旭翼数码专营店
",该款月成交 341笔
Xiaomi/小米 小米9,"

￥2788.00

 ","
连盛数码专营店
",该款月成交 274笔
honor/荣耀 荣耀9i,"

￥721.00

 ","
荣耀来音专卖店
",该款月成交 688笔
Huawei/华为 畅享 8e 青春,"

￥548.00

 ","
中国电信官方旗舰店
",该款月成交 499笔
Sony/索尼 J9110,"

￥5099.00

 ","
索尼官方旗舰店
",该款月成交 80笔
Philips/飞利浦 S610,"

￥659.00

 ","
锦万数码专营
",该款月成交 66笔
honor/荣耀 荣耀20i,"

￥1099.00

 ","
创汇通达数码旗舰店
",该款月成交 265笔
小辣椒 红辣椒9,"

￥999.00

 ","
小辣椒旗舰店
",该款月成交 160笔
DOOV/朵唯 D11,"

￥699.00

 ","
朵唯官方旗舰店
",该款月成交 188笔
ZTE/中兴 ZTE V1050,"

￥859.00

 ","
天杰数码专营店
",该款月成交 93笔
Xiaomi/小米 小米CC 9E,"

￥1300.00

 ","
威锋时代数码专营店
",该款月成交 245笔
小辣椒 小辣椒 10,"

￥899.00

 ","
小辣椒旗舰店
",该款月成交 244笔
小辣椒 红辣椒 9E,"

￥488.00

 ","
小辣椒搜客专卖店
",该款月成交 27笔
honor/荣耀 荣耀8X MAX,"

￥1358.00

 ","
晋商数码专营店
",该款月成交 91笔
21KE 升级版多亲QIN2,"

￥599.00

 ","
大和数码配件专营店
",该款月成交 124笔
Apple/苹果 Apple iPhone XS Max,"

￥5068.00

 ","
九千集手机专营店
",该款月成交 4笔
K-Touch/天语 M16,"

￥559.00

 ","
米凌数码专营店
",该款月成交 47笔
honor/荣耀 畅玩8C,"

￥939.00

 ","
晋商数码专营店
",该款月成交 176笔
OPPO A5,"

￥899.00

 ","
OPPO平实专卖店
",该款月成交 58笔
柔宇 柔派折叠屏手机,"

￥8999.00

 ","
柔宇数码旗舰店
",该款月成交 11笔
Gionee/金立 F6,"

￥498.00

 ","
旭辰数码专营店
",该款月成交 258笔
vivo X30 PRO,"

￥3698.00

 ","
vivo天诚专卖店
",该款月成交 211笔
DOOV/朵唯 20190808,"

￥599.00

 ","
朵唯宇钧汇专卖店
",该款月成交 226笔
honor/荣耀 荣耀Play3e,"

￥629.00

 ","
博海宇通数码专营店
",该款月成交 699笔
honor/荣耀 荣耀8X,"

￥1199.00

 ","
天下和数码专营店
",该款月成交 41笔
koobee/酷比 S15,"

￥899.00

 ","
koobee手机旗舰店
",该款月成交 316笔
K-Touch/天语 I10,"

￥579.00

 ","
ktouch天语众鑫世纪专卖店
",该款月成交 46笔
黑鲨 黑鲨游戏手机3S,"

￥3899.00

 ","
金万吉数码专营店
",该款月成交 253笔
21KE MC001S,"

￥999.00

 ","
飞可盈数码专营店
",该款月成交 34笔
Coolpad/酷派 C106,"

￥449.00

 ","
莫拉克数码专营店
",该款月成交 0笔
OPPO K5,"

￥2599.00

 ","
骏灿数码专营店
",该款月成交 52笔
Philips/飞利浦 E518,"

￥478.00

 ","
和瀛数码专营店
",该款月成交 352笔
Gionee/金立 M11S,"

￥899.00

 ","
gionee金立圆周率专卖店
",该款月成交 17笔
AGM(手机) H2,"

￥1199.00

 ","
agm手机旗舰店
",该款月成交 106笔
Gionee/金立 K3,"

￥599.00

 ","
小柿子数码专营店
",该款月成交 35笔
K-Touch/天语 HD1,"

￥599.00

 ","
锦万数码专营
",该款月成交 29笔
HUAWEI 麦芒 8,"

￥1248.00

 ","
创汇通达数码旗舰店
",该款月成交 362笔
HUAWEI 畅享9 PLUS,"

￥1599.00

 ","
久汇数码专营店
",该款月成交 364笔
Apple/苹果 iPhone 6s Plus,"

￥2899.00

 ","
虫马虫义数码专营店
",该款月成交 166笔
DOOV/朵唯 A55,"

￥499.00

 ","
朵唯官方旗舰店
",该款月成交 64笔
HUAWEI 华为畅享 9e,"

￥1199.00

 ","
久汇数码专营店
",该款月成交 285笔
Xiaomi/小米 Redmi K20 骁龙 855,"

￥1999.00

 ","
气樽数码专营店
",该款月成交 5笔
koobee/酷比 Y3,"

￥498.00

 ","
koobee手机旗舰店
",该款月成交 76笔
21KE m2s,"

￥699.00

 ","
飞可盈数码专营店
",该款月成交 21笔
Samsung/三星 SM-W2018,"

￥9988.00

 ","
莫拉克数码专营店
",该款月成交 2笔
Meizu/魅族 魅族16s Pro,"

￥3548.00

 ","
连盛数码专营店
",该款月成交 6笔
Nokia/诺基亚 C3新,"

￥699.00

 ","
京联通达数码旗舰店
",该款月成交 588笔
Samsung/三星 Galaxy S9 SM-G9600/DS,"

￥3299.00

 ","
samsung佳酷专卖店
",该款月成交 6笔
Samsung/三星 Galaxy Note20 Ultra 5G SM-N9860,"

￥9199.00

 ","
三际数码官方旗舰店
",该款月成交 1730笔
Samsung/三星 Galaxy S10e SM-G9700,"

￥3598.00

 ","
samsung佳酷专卖店
",该款月成交 54笔
HUAWEI SPN-AL00,"

￥1699.00

 ","
京合旗舰店
",该款月成交 803笔
Xiaomi/小米 Redmi Note 7,"

￥1198.00

 ","
岸越数码专营店
",该款月成交 31笔
Sugar C11,"

￥549.00

 ","
sugar手机旗舰店
",该款月成交 12笔
HUAWEI HUAWEI Mate 30,"

￥3999.00

 ","
京合旗舰店
",该款月成交 4282笔
,"

￥6129.00

 ","
天猫会员店
",该款月成交 2笔
ZTE/中兴 9000N,"

￥2298.00

 ","
ZTE中兴官方旗舰店
",该款月成交 41笔
DOOV/朵唯 P9,"

￥1079.00

 ","
捷路通数码专营店
",该款月成交 5笔
Hisense/海信 HLTE203T,"

￥1799.00

 ","
伊奥雷特数码专营店
",该款月成交 14笔
K-Touch/天语 X25,"

￥749.00

 ","
东亿民华数码专营店
",该款月成交 17笔
HUAWEI HUAWEI P30 PRO,"

￥5788.00

 ","
华为官方旗舰店
",该款月成交 3195笔
HUAWEI nova 5z,"

￥1499.00

 ","
华为官方旗舰店
",该款月成交 1.9万笔
HUAWEI nova 5 Pro,"


￥2499.00

 ","
苏宁易购官方旗舰店
",该款月成交 9565笔
Samsung/三星 Galaxy Note10+ SM-N9760 5G,"


￥6499.00

 ","
苏宁易购官方旗舰店
",该款月成交 618笔
honor/荣耀 荣耀20青春版,"

￥999.00

 ","
荣耀官方旗舰店
",该款月成交 2.7万笔
honor/荣耀 荣耀9X PRO,"

￥1999.00

 ","
荣耀官方旗舰店
",该款月成交 4958笔
Xiaomi/小米 Redmi 7A,"

￥549.00

 ","
小米官方旗舰店
",该款月成交 8907笔
Xiaomi/小米 Redmi 8,"

￥799.00

 ","
小米官方旗舰店
",该款月成交 1830笔
OPPO A8,"

￥999.00

 ","
OPPO官方旗舰店
",该款月成交 6260笔
OPPO Find X2 Pro,"

￥5999.00

 ","
OPPO官方旗舰店
",该款月成交 1403笔
vivo Y3,"

￥1298.00

 ","
vivo官方旗舰店
",该款月成交 7619笔
vivo iQOO U1,"

￥1398.00

 ","
vivo官方旗舰店
",该款月成交 9686笔
Samsung/三星 Galaxy S20 Ultra SM-G9880,"

￥9999.00

 ","
三星官方旗舰店
",该款月成交 539笔
Samsung/三星 Galaxy Z Flip 5G SM-F7070,"

￥12499.00

 ","
三星官方旗舰店
",该款月成交 652笔
Huawei/华为 畅享8 Plus,"

￥559.00

 ","
旭翼数码专营店
",该款月成交 26笔
honor/荣耀 荣耀10,"

￥1459.00

 ","
旭翼数码专营店
",该款月成交 112笔
Huawei/华为 畅享 MAX,"

￥1159.00

 ","
晋商数码专营店
",该款月成交 141笔
honor/荣耀 荣耀10青春版,"

￥999.00

 ","
创汇通达数码旗舰店
",该款月成交 303笔
HUAWEI 华为畅享9S,"

￥1099.00

 ","
久汇数码专营店
",该款月成交 116笔
小辣椒 7X尊享版,"

￥599.00

 ","
小辣椒旗舰店
",该款月成交 36笔
Xiaomi/小米 小米Max3,"

￥1299.00

 ","
久汇数码专营店
",该款月成交 24笔
Coolpad/酷派 1871-A0,"

￥469.00

 ","
李华氏数码专营店
",该款月成交 0笔
nubia/努比亚 努比亚 X,"

￥2799.00

 ","
北极星辰数码专营店
",该款月成交 8笔
vivo iQOO 3,"

￥4398.00

 ","
vivo智轩优品专卖店
",该款月成交 5563笔
ROG ROG游戏手机3,"

￥4699.00

 ","
年年盛数码专营店
",该款月成交 2474笔
OPPO A91,"

￥1599.00

 ","
绿森官方旗舰店
",该款月成交 11笔
快活狐 PM1701双模版,"

￥959.00

 ","
百汇瑞成数码专营店
",该款月成交 0笔
AGM(手机) X3 CIA定制版,"

￥3999.00

 ","
agm手机旗舰店
",该款月成交 0笔
纽曼 P308,"

￥588.00

 ","
移联翼数码专营店
",该款月成交 672笔
Samsung/三星 Galaxy A90 5G SM-A9080,"

￥2899.00

 ","
创汇通达数码旗舰店
",该款月成交 106笔
HUAWEI nova 5i Pro,"

￥1599.00

 ","
中国移动手机官方旗舰店
",该款月成交 1309笔
Xiaomi/小米 redmi note 7 pro,"

￥1219.00

 ","
三际数码官方旗舰店
",该款月成交 443笔
OPPO Reno,"

￥2699.00

 ","
中国移动手机官方旗舰店
",该款月成交 0笔
vivo iQOO Pro,"

￥3298.00

 ","
vivo天诚专卖店
",该款月成交 9笔
OnePlus/一加 IN2020,"

￥5399.00

 ","
顺电旗舰店
",该款月成交 5212笔
小辣椒 小辣椒P60,"

￥559.00

 ","
中电盈讯数码专营店
",该款月成交 13笔
AGM(手机) H1,"

￥1799.00

 ","
agm手机旗舰店
",该款月成交 30笔
nubia/努比亚 红魔,"

￥4499.00

 ","
卓瓦数码专营店
",该款月成交 2笔
Coolpad/酷派 1872-A0,"

￥499.00

 ","
蒙奇数码专营店
",该款月成交 7笔
Xiaomi/小米 小米9 pro,"

￥3779.00

 ","
三际数码官方旗舰店
",该款月成交 4笔
Xiaomi/小米 小米CC9,"

￥2380.00

 ","
新创野数码专营店
",该款月成交 147笔
HUAWEI 畅享 10S,"

￥1099.00

 ","
方利手机专营店
",该款月成交 2.4万笔
nubia/努比亚 NX629J,"

￥4399.00

 ","
年年盛数码专营店
",该款月成交 130笔
黑鲨 黑鲨游戏手机 2,"

￥99999.00

 ","
金万吉数码专营店
",该款月成交 0笔
T－Ying/天颖 小马宝莉 PM1701,"

￥799.00

 ","
天颖数码专营店
",该款月成交 9笔
honor/荣耀 畅玩7C,"

￥799.00

 ","
八连星手机专营店
",该款月成交 18笔
HUAWEI nova 4e,"

￥1238.00

 ","
席泰数码专营店
",该款月成交 81笔
ZTE/中兴 A2020 Pro,"

￥4199.00

 ","
ZTE中兴官方旗舰店
",该款月成交 7笔
HUAWEI nova 5,"

￥1888.00

 ","
席泰数码专营店
",该款月成交 15笔
ivvi P60(孔）,"

￥588.00

 ","
ivvi手机旗舰店
",该款月成交 24笔
皓轩 P40,"

￥698.00

 ","
赛尔丰数码专营店
",该款月成交 83笔
nubia/努比亚 NX651J,"

￥2299.00

 ","
卓瓦数码专营店
",该款月成交 28笔
多亲 qin2 pro,"

￥799.00

 ","
鑫睿诚数码专营店
",该款月成交 13笔
SAILF/硕王 硕王SAILF-R20,"

￥658.00

 ","
硕王鑫基汇专卖店
",该款月成交 21笔
SAILF/硕王 SAILF /硕王 R20,"

￥688.00

 ","
硕王东鑫城专卖店
",该款月成交 4笔
vivo iQOO Neo 855,"

￥2498.00

 ","
能良数码官方旗舰店
",该款月成交 1笔
Gionee/金立 K9,"

￥769.00

 ","
浩瑜数码专营店
",该款月成交 31笔
SAILF/硕王 硕王SAILF R20,"

￥558.00

 ","
硕王鑫基汇专卖店
",该款月成交 10笔
Xiaomi/小米 Redmi K20 Pro,"

￥2191.00

 ","
威锋时代数码专营店
",该款月成交 58笔
honor/荣耀 畅玩8,"

￥598.00

 ","
天行健手机专营店
",该款月成交 45笔
ROG ROG3,"

￥4299.00

 ","
ROG鸿为源专卖店
",该款月成交 33笔
honor/荣耀 荣耀V20,"

￥2299.00

 ","
天下和数码专营店
",该款月成交 56笔
硕王 R20,"

￥1318.00

 ","
捷路通数码专营店
",该款月成交 951笔
SAILF/硕王 SAILF_R20,"

￥1758.00

 ","
硕王东鑫城专卖店
",该款月成交 1笔
realme 真我V3 5G,"

￥9999.00

 ","
realme官方旗舰店
",该款月成交 0笔
realme 真我X7 5G,"

￥9999.00

 ","
realme官方旗舰店
",该款月成交 0笔
Neken/尼凯恩 EN3,"

￥59.00

 ","
尼凯恩旗舰店
",该款月成交 1.1万笔
纽曼 M560,"

￥69.00

 ","
创于佳讯数码专营店
",该款月成交 7.0万笔
